actor,movie_or_TV_name
Actor: Kentarô Itô,Ikoku Irokoi Romantan
Actor: Kentarô Itô,Bleach the Movie 2: The Diamond Dust Rebellion
Actor: Kentarô Itô,Ryûsei no rokkuman: Toraibu
Actor: Kentarô Itô,Princess Resurrection
Actor: Kentarô Itô,Kin iro no koruda: Primo passo
Actor: Kentarô Itô,Naruto
Actor: Kentarô Itô,Bleach: Memories of Nobody
Actor: Kentarô Itô,Blood+
Actor: Kentarô Itô,Demonbane
Actor: Kentarô Itô,Ergo Proxy
Actor: Kentarô Itô,Soul Link
Actor: Kentarô Itô,The Story of Saiunkoku
Actor: Kentarô Itô,Ginyuu mokushiroku: Meine liebe wieder
Actor: Kentarô Itô,Embracing Love: Cherished Spring
Actor: Kentarô Itô,The Law of Ueki
Actor: Kentarô Itô,Patalliro Saiyuki
Actor: Kentarô Itô,Gekijô ban Tottoko Hamutarô: Hamu hamu paradaichu! - Hamutarô to fushigi no oni no ehontô
Actor: Kentarô Itô,Kishin hôkoku Demonbein
Actor: Kentarô Itô,Gantz
Actor: Kentarô Itô,Fullmetal Alchemist
Actor: Kentarô Itô,Eiken
Actor: Kentarô Itô,Gekijô ban Tottoko Hamutaro: Ôrora no kiseki - Ribon chan kiki ippatsu!
Actor: Kentarô Itô,Gilgamesh
Actor: Kentarô Itô,SD Gundam Force
Actor: Kentarô Itô,My Sister Momoko
Actor: Kentarô Itô,Beast Fighter - The Apocalypse
Actor: Kentarô Itô,Gekijô ban Tottoko Hamutarô: Hamu hamu hamu~jya! Maboroshi no prinsesu
Actor: Kentarô Itô,Cyborg 009
Actor: Kentarô Itô,Digimon Frontier
Actor: Kentarô Itô,Gun Frontier
Actor: Kentarô Itô,Ninpuu Sentai Hurricaneger
Actor: Kentarô Itô,Hikaru's Go
Actor: Kentarô Itô,Pokémon
Actor: Kentarô Itô,Shin Chan: The Adult Empire Strikes Back
Actor: Kentarô Itô,Touch: Cross Road
Actor: Kentarô Itô,GTO: Great Teacher Onizuka
Actor: Kentarô Itô,Kirara
Actor: Kentarô Itô,Brigadoon: Marin to Melan
Actor: Kentarô Itô,Ayashi no Ceres
Actor: Kentarô Itô,Sensual Phrase
Actor: Kentarô Itô,Digimon Adventure
Actor: Kentarô Itô,Dai-Guard
Actor: Kentarô Itô,Chîsana kyojin Microman: Dai kessen! Microman vs saikyô senshi Gorugon
Actor: Kentarô Itô,Z-Mind
Actor: Kentarô Itô,Chîsana kyojin Microman
Actor: Kentarô Itô,Startling Doctor
Actor: Kentarô Itô,Super Doll Lika-chan
Actor: Kentarô Itô,Martian Successor Nadesico - The Motion Picture: Prince of Darkness
Actor: Kentarô Itô,Mobile Suit Gundam: The 08th MS Team - Miller's Report
